"","X","SubjectID","TrialNumber","StartingPositionIndex","ImageNumber","ImageName","TimeOut","TimeOutStr","TimeStampBegin","TimeStampEnd","TrialDuration","Angle","TriggerPressedFreq","CancelPressedFreq","PhotoToCenterFreq","ParticipantPosition_x","ParticipantPosition_y","ParticipantPosition_z","ParticipantPosition_x.1","ParticipantRotation_x","ParticipantRotation_y","ParticipantRotation_z","ParticipantPosition_y.1","PointerPosition_x","PointerPosition_y","PointerPosition_z","ParticipantPosition_z.1","PointerRotation_x","PointerRotation_y","PointerRotation_z","PointerDirection_x","PointerDirection_y","PointerDirection_z","ParticipantRotation_x.1","ParticipantRotation_y.1","TargetBuildingPosition_x","TargetBuildingPosition_y","TargetBuildingPosition_z","ParticipantRotation_z.1","TargetBuildingRotation_x","TargetBuildingRotation_y","TargetBuildingRotation_z","TargetBuildingDirection_x","TargetBuildingDirection_y","TargetBuildingDirection_z","PointerPosition_x.1","PointerPosition_y.1","PointerPosition_z.1","PointerRotation_x.1","PointerRotation_y.1","PointerRotation_z.1","PointerDirection_x.1","PointerDirection_y.1","PointerDirection_z.1","TargetBuildingName","TargetBuildingPosition_x.1","TargetBuildingPosition_y.1","TargetBuildingPosition_z.1","TargetBuildingRotation_x.1","TargetBuildingRotation_y.1","TargetBuildingRotation_z.1","TargetBuildingDirection_x.1","TargetBuildingDirection_y.1","TargetBuildingDirection_z.1","DistanceToParticipant","PointedDirections","TriggerPressedTimeStamps","CancelPressedTimeStamps","PhotoToCenterTimeStamps","PhotoReleasedTimeStamps","Condition","Task","RecalculatedAngle","SignedAngle"
"1",0,1027,1,4,6,"TaskBuilding_7","False","False","2021-07-07 06:26:35.622844160","2021-07-07 06:26:45.952057344",10.329213142395,3.22470426559448,2,0,2,2.59185791015625,2.0962347984314,41.3709945678711,2.59185791015625,357.468444824219,130.14599609375,2.5641610622406,2.0962347984314,2.0908203125,1.52288627624512,41.2402954101562,41.3709945678711,355.587646484375,225.399566650391,350.317596435547,-0.709910452365875,0.076933853328228,-0.700077593326568,357.468444824219,130.14599609375,-192.461410522461,-0.946640014648437,-173.510040283203,2.5641610622406,-6.027028575e-06,27.4618644714355,-4.10935263e-06,0.461158126592636,1.05191489296885e-07,0.887317955493927,2.0908203125,1.52288627624512,41.2402954101562,355.587646484375,225.399566650391,350.317596435547,-0.709910452365875,0.076933853328228,-0.700077593326568,"TaskBuilding_7",-192.461410522461,-0.946640014648437,-173.510040283203,-6.027028575e-06,27.4618644714355,-4.10935263e-06,0.461158126592636,1.05191489296885e-07,0.887317955493927,290.351043701172,"[{'x': -0.709910452365875, 'y': 0.07693385332822801, 'z': -0.700077593326568}]","[1625639205.540873, 1625639205.9515617]","[]","[1625639197.0329738, 1625639203.1967754]","[1625639198.9663844, 1625639204.818696]","Belt","PTB",3.16869124972749,3.16869124972733
"2",1,1027,2,4,0,"TaskBuilding_1","False","False","2021-07-07 06:26:46.218409984","2021-07-07 06:27:02.833936128",16.6155261993408,60.3306922912598,2,0,4,2.34478759765625,2.11500930786133,41.3637084960938,2.34478759765625,352.015472412109,225.382263183594,4.33347797393799,2.11500930786133,2.58326721191406,1.48267412185669,41.0750961303711,41.3637084960938,0.216009825468063,163.711502075195,347.494781494141,0.28047227859497,-0.003770073875784,-0.959854781627655,352.015472412109,225.382263183594,255.062286376953,-1.66304397583008,-18.9844818115234,4.33347797393799,2.3328420866e-05,145.325836181641,-5.493742719e-06,0.56890869140625,-4.07157756399101e-07,-0.822400689125061,2.58326721191406,1.48267412185669,41.0750961303711,0.216009825468063,163.711502075195,347.494781494141,0.28047227859497,-0.003770073875784,-0.959854781627655,"TaskBuilding_1",255.062286376953,-1.66304397583008,-18.9844818115234,2.3328420866e-05,145.325836181641,-5.493742719e-06,0.56890869140625,-4.07157756399101e-07,-0.822400689125061,259.80615234375,"[{'x': 0.28047227859497004, 'y': -0.003770073875784, 'z': -0.959854781627655}]","[1625639222.5561757, 1625639222.8339362]","[]","[1625639206.828491, 1625639210.9720802, 1625639212.5275388, 1625639217.2033367]","[1625639209.0495818, 1625639211.6392012, 1625639212.7492528, 1625639220.5116608]","Belt","PTB",60.2809434535067,60.2809434535067
"3",2,1027,3,4,1,"TaskBuilding_2","False","False","2021-07-07 06:27:03.101280256","2021-07-07 06:27:12.462300928",9.36102080345154,59.6411437988281,2,0,1,2.58158874511719,2.10837554931641,41.3697204589844,2.58158874511719,353.351623535156,156.208129882812,3.12155675888062,2.10837554931641,2.77978515625,1.44686651229858,41.2278213500977,41.3697204589844,357.337310791016,104.876792907715,359.368957519531,0.96543675661087,0.04645574465394,-0.256464153528213,353.351623535156,156.208129882812,197.395660400391,-2.95098876953125,234.249404907227,3.12155675888062,4.0967432141e-05,171.773101806641,-1.662281988e-06,0.143093660473823,-7.15016540198121e-07,-0.989709019660949,2.77978515625,1.44686651229858,41.2278213500977,357.337310791016,104.876792907715,359.368957519531,0.96543675661087,0.04645574465394,-0.256464153528213,"TaskBuilding_2",197.395660400391,-2.95098876953125,234.249404907227,4.0967432141e-05,171.773101806641,-1.662281988e-06,0.143093660473823,-7.15016540198121e-07,-0.989709019660949,274.034942626953,"[{'x': 0.96543675661087, 'y': 0.046455744653940007, 'z': -0.256464153528213}]","[1625639232.1617248, 1625639232.462301]","[]","[1625639223.623073]","[1625639228.243319]","Belt","PTB",59.5909182182843,59.5909182182843
"4",3,1027,4,4,5,"TaskBuilding_6","False","False","2021-07-07 06:27:12.729149440","2021-07-07 06:27:16.695170560",3.96602129936218,59.5554809570312,2,0,1,2.60580444335938,2.10951566696167,41.4163970947266,2.60580444335938,349.43701171875,106.433692932129,4.40172290802002,2.10951566696167,2.6285400390625,1.39790868759155,41.8461990356445,41.4163970947266,358.827545166016,359.173919677734,5.34326696395874,-0.014414518140256,0.020461857318878,0.99968671798706,349.43701171875,106.433692932129,-166.058334350586,2.423095703125,137.745452880859,4.40172290802002,1.1109343176e-05,319.793121337891,1.0480455785e-05,-0.645549297332763,-1.93894578615073e-07,0.763718605041503,2.6285400390625,1.39790868759155,41.8461990356445,358.827545166016,359.173919677734,5.34326696395874,-0.014414518140256,0.020461857318878,0.99968671798706,"TaskBuilding_6",-166.058334350586,2.423095703125,137.745452880859,1.1109343176e-05,319.793121337891,1.0480455785e-05,-0.645549297332763,-1.93894578615073e-07,0.763718605041503,193.972259521484,"[{'x': -0.014414518140256, 'y': 0.020461857318878, 'z': 0.9996867179870601}]","[1625639236.4283223, 1625639236.6951706]","[]","[1625639233.1279342]","[1625639234.6501598]","Belt","PTB",59.4419477234977,59.4419477234977
"5",4,1027,5,4,3,"TaskBuilding_4","False","False","2021-07-07 06:27:16.960034816","2021-07-07 06:27:20.103190784",3.14315605163574,35.2568168640137,2,0,1,2.51847839355469,2.10759496688843,41.6644592285156,2.51847839355469,350.655151367188,356.880157470703,3.27179956436157,2.10759496688843,2.27677917480469,1.55038547515869,40.9471588134766,41.6644592285156,358.516052246094,200.297760009766,344.405151367188,-0.346782773733139,0.025896705687046,-0.937588095664978,350.655151367188,356.880157470703,45.8665390014648,-4.68255615234375,-122.198310852051,3.27179956436157,0,0,0,0,0,1,2.27677917480469,1.55038547515869,40.9471588134766,358.516052246094,200.297760009766,344.405151367188,-0.346782773733139,0.025896705687046,-0.937588095664978,"TaskBuilding_4",45.8665390014648,-4.68255615234375,-122.198310852051,0,0,0,0,0,1,169.622192382812,"[{'x': -0.34678277373313904, 'y': 0.025896705687046002, 'z': -0.937588095664978}]","[1625639239.8700707, 1625639240.103191]","[]","[1625639237.2948356]","[1625639239.025878]","Belt","PTB",35.115297462456,35.115297462456
"6",5,1027,6,4,2,"TaskBuilding_3","False","False","2021-07-07 06:27:20.370039296","2021-07-07 06:27:31.660502528",11.2904632091522,29.6523952484131,2,0,3,2.58663940429688,2.10462760925293,41.3654632568359,2.58663940429688,350.394256591797,193.106414794922,359.214385986328,2.10462760925293,2.83699035644531,1.39999675750732,41.1420669555664,41.3654632568359,358.809753417969,124.940391540527,1.90238678455353,0.819571554660797,0.020772252231836,-0.572600364685058,350.394256591797,193.106414794922,132.779266357422,-1.08327293395996,29.1151313781738,359.214385986328,1.9216329746e-05,139.375045776367,-7.113092124e-06,0.651104807853698,-3.35388222083566e-07,-0.75898790359497,2.83699035644531,1.39999675750732,41.1420669555664,358.809753417969,124.940391540527,1.90238678455353,0.819571554660797,0.020772252231836,-0.572600364685058,"TaskBuilding_3",132.779266357422,-1.08327293395996,29.1151313781738,1.9216329746e-05,139.375045776367,-7.113092124e-06,0.651104807853698,-3.35388222083566e-07,-0.75898790359497,130.944610595703,"[{'x': 0.8195715546607971, 'y': 0.020772252231836003, 'z': -0.572600364685058}]","[1625639251.410022, 1625639251.6605024]","[]","[1625639240.6810322, 1625639247.1444168, 1625639249.3436825]","[1625639242.7359626, 1625639248.1111207, 1625639250.2657483]","Belt","PTB",29.565032943538,29.5650329435379
"7",6,1027,7,4,7,"TaskBuilding_8","False","False","2021-07-07 06:27:31.930326016","2021-07-07 06:27:36.072924416",4.14259839057922,47.4043960571289,2,0,1,2.652587890625,2.10235834121704,41.4500045776367,2.652587890625,352.716644287109,123.174003601074,1.67390525341034,2.10235834121704,2.21270751953125,1.45063304901123,41.8625411987305,41.4500045776367,355.299285888672,294.04345703125,29.3926887512207,-0.910164833068847,0.081951111555099,0.406059086322784,352.716644287109,123.174003601074,-311.34130859375,1.27165222167969,-93.5706405639648,1.67390525341034,270,89.0851440429688,0,-2.08616256713867e-07,0.99999988079071,-1.78813934326172e-07,2.21270751953125,1.45063304901123,41.8625411987305,355.299285888672,294.04345703125,29.3926887512207,-0.910164833068847,0.081951111555099,0.406059086322784,"TaskBuilding_8",-311.34130859375,1.27165222167969,-93.5706405639648,270,89.0851440429688,0,-2.08616256713867e-07,0.99999988079071,-1.78813934326172e-07,341.703033447266,"[{'x': -0.9101648330688471, 'y': 0.081951111555099, 'z': 0.40605908632278404}]","[1625639255.8398035, 1625639256.0729244]","[]","[1625639252.3866472]","[1625639254.3413863]","Belt","PTB",47.3116727243943,47.3116727243943
"8",7,1027,8,7,0,"TaskBuilding_1","False","False","2021-07-07 06:27:37.216205824","2021-07-07 06:27:54.640710400",17.4245045185089,5.12686395645142,2,0,4,-292.228576660156,3.42727661132812,-95.9368438720703,-292.228576660156,352.4287109375,296.338287353516,2.77574849128723,3.42727661132812,-291.551086425781,2.74159240722656,-96.0886688232422,-95.9368438720703,357.970306396484,87.0978240966797,4.15532684326172,0.998090803623199,0.035417601466178,0.050599172711372,352.4287109375,296.338287353516,255.062286376953,-1.66304397583008,-18.9844818115234,2.77574849128723,2.3328420866e-05,145.325836181641,-5.493742719e-06,0.56890869140625,-4.07157756399101e-07,-0.822400689125061,-291.551086425781,2.74159240722656,-96.0886688232422,357.970306396484,87.0978240966797,4.15532684326172,0.998090803623199,0.035417601466178,0.050599172711372,"TaskBuilding_1",255.062286376953,-1.66304397583008,-18.9844818115234,2.3328420866e-05,145.325836181641,-5.493742719e-06,0.56890869140625,-4.07157756399101e-07,-0.822400689125061,552.538879394531,"[{'x': 0.9980908036231991, 'y': 0.035417601466178006, 'z': 0.050599172711372}]","[1625639274.1040359, 1625639274.6407104]","[]","[1625639257.7866068, 1625639258.6089754, 1625639259.7195213, 1625639268.0786204]","[1625639258.097599, 1625639259.2527845, 1625639262.0819728, 1625639268.386141]","Belt","PTB",5.10147955573053,5.10147955573048
"9",8,1027,9,7,1,"TaskBuilding_2","False","False","2021-07-07 06:27:54.908053504","2021-07-07 06:27:56.984311808",2.07625842094421,5.68613433837891,2,0,1,-291.93359375,3.43700170516968,-96.0220794677734,-291.93359375,349.840667724609,82.6089401245117,4.07633399963379,3.43700170516968,-291.622436523438,2.80128622055054,-95.9369354248047,-96.0220794677734,355.012786865234,50.2865257263184,352.863555908203,0.766336977481842,0.086933523416519,0.636529743671417,349.840667724609,82.6089401245117,197.395660400391,-2.95098876953125,234.249404907227,4.07633399963379,4.0967432141e-05,171.773101806641,-1.662281988e-06,0.143093660473823,-7.15016540198121e-07,-0.989709019660949,-291.622436523438,2.80128622055054,-95.9369354248047,355.012786865234,50.2865257263184,352.863555908203,0.766336977481842,0.086933523416519,0.636529743671417,"TaskBuilding_2",197.395660400391,-2.95098876953125,234.249404907227,4.0967432141e-05,171.773101806641,-1.662281988e-06,0.143093660473823,-7.15016540198121e-07,-0.989709019660949,590.452941894531,"[{'x': 0.766336977481842, 'y': 0.08693352341651901, 'z': 0.636529743671417}]","[1625639276.7516875, 1625639276.9843118]","[]","[1625639275.25327]","[1625639276.1569831]","Belt","PTB",5.69619795857835,-5.69619795857835
"10",9,1027,10,7,3,"TaskBuilding_4","False","False","2021-07-07 06:27:57.249672448","2021-07-07 06:28:00.562957824",3.31328535079956,11.1455669403076,2,0,1,-291.875671386719,3.42581033706665,-95.9957275390625,-291.875671386719,349.782348632812,54.9104461669922,2.39954376220703,3.42581033706665,-291.565185546875,2.79394292831421,-96.0515289306641,-95.9957275390625,356.862579345703,105.576431274414,353.074981689453,0.961829245090484,0.054731108248233,-0.268121123313903,349.782348632812,54.9104461669922,45.8665390014648,-4.68255615234375,-122.198310852051,2.39954376220703,0,0,0,0,0,1,-291.565185546875,2.79394292831421,-96.0515289306641,356.862579345703,105.576431274414,353.074981689453,0.961829245090484,0.054731108248233,-0.268121123313903,"TaskBuilding_4",45.8665390014648,-4.68255615234375,-122.198310852051,0,0,0,0,0,1,339.028381347656,"[{'x': 0.9618292450904841, 'y': 0.054731108248233004, 'z': -0.26812112331390303}]","[1625639280.3184283, 1625639280.5629578]","[]","[1625639278.4881861]","[1625639279.5104434]","Belt","PTB",11.1402197373097,11.1402197373097
